date,order_id,product,category,price,cost_price,quantity,discount_pct,total_sales,profit,region,sales_channel,payment_method,customer_type,is_weekend
2024-07-23,a368eeef,G,Electronics,646.96,481.2,5,5.0,3073.06,667.06,East,Retail,NetBanking,Returning,0
2024-05-30,510cfb1d,D,Furniture,1050.56,682.47,2,5.0,1996.06,631.12,North,Distributor,NetBanking,Returning,0
2024-11-26,2b7b0847,D,Furniture,1859.55,1243.96,3,10.0,5020.78,1288.9,East,Distributor,Cash,Returning,0
2024-07-25,13a2ca4a,G,Electronics,706.13,404.73,4,10.0,2542.07,923.15,North,Distributor,Cash,New,0
2024-11-30,19325660,B,Electronics,528.67,303.77,2,15.0,898.74,291.2,West,Distributor,Card,New,1
2024-03-03,9197f2b5,B,Electronics,384.72,283.81,7,0.0,2693.04,706.37,West,Online,Card,New,1
2024-12-04,f914fd43,F,Clothing,147.78,102.76,7,15.0,879.29,159.97,South,Retail,Cash,New,0
2024-01-18,5cf90c43,F,Clothing,210.22,137.56,8,5.0,1597.67,497.19,East,Distributor,NetBanking,New,0
2024-11-26,3496b045,A,Electronics,365.72,242.95,8,0.0,2925.76,982.16,North,Retail,Card,New,0
2024-02-21,1866dd7c,E,Clothing,397.65,248.05,10,10.0,3578.85,1098.35,North,Online,NetBanking,Returning,0
2024-02-24,41a66004,E,Clothing,338.78,225.0,8,15.0,2303.7,503.7,West,Online,NetBanking,New,1
2024-10-31,9778b450,D,Furniture,1391.88,926.69,3,5.0,3966.86,1186.79,West,Online,Card,New,0
2024-09-14,81d32c21,B,Electronics,349.91,253.43,8,0.0,2799.28,771.84,East,Online,Card,Returning,1
2024-04-21,f13b2e79,A,Electronics,552.45,391.66,3,15.0,1408.75,233.77,East,Distributor,Card,New,1
2024-10-26,ca8a4d4e,C,Furniture,1327.05,971.44,3,0.0,3981.15,1066.83,West,Retail,Cash,Returning,1
2024-09-25,112fb55f,F,Clothing,80.85,56.06,10,15.0,687.22,126.62,West,Distributor,NetBanking,Returning,0
2024-09-25,8985358b,B,Electronics,322.39,231.01,8,0.0,2579.12,731.04,East,Distributor,NetBanking,Returning,0
2024-11-27,2596b0b9,A,Electronics,548.06,365.18,4,10.0,1973.02,512.3,South,Distributor,NetBanking,New,0
2024-12-30,654d756c,D,Furniture,1029.5,586.67,2,5.0,1956.05,782.71,East,Retail,Card,Returning,0
2024-01-04,822eae6d,A,Electronics,670.99,447.81,2,10.0,1207.78,312.16,North,Online,Card,Returning,0
2024-03-31,95fc7510,A,Electronics,361.72,227.26,9,0.0,3255.48,1210.14,East,Retail,Cash,New,1
2024-02-29,993ef17b,G,Electronics,550.24,388.5,8,15.0,3741.63,633.63,North,Online,,Returning,0
2024-12-18,2f2382b8,E,Clothing,238.53,177.51,4,5.0,906.41,196.37,West,Online,NetBanking,New,0
2024-07-11,290b22c2,G,Electronics,850.7,580.59,10,15.0,7230.95,1425.05,West,Distributor,UPI,New,0
2024-12-10,841aea16,F,Clothing,193.54,128.09,6,15.0,987.05,218.51,North,Retail,NetBanking,Returning,0
2024-05-15,cc074d90,C,Furniture,872.45,637.63,9,15.0,6674.24,935.57,North,Retail,NetBanking,Returning,0
2024-02-23,9bf9a7e0,C,Furniture,856.44,621.1,8,10.0,6166.37,1197.57,North,Retail,Cash,Returning,0
2024-09-28,88c6f618,G,Electronics,504.54,334.5,10,15.0,4288.59,943.59,West,Online,NetBanking,New,1
2024-06-07,8801b53a,B,Electronics,337.58,203.2,9,10.0,2734.4,905.6,South,Distributor,UPI,New,0
2024-12-20,694679b6,B,Electronics,572.61,357.65,2,10.0,1030.7,315.4,West,Distributor,UPI,Returning,0
2024-04-22,595c8ec2,E,Clothing,225.64,134.96,8,10.0,1624.61,544.93,North,Distributor,Cash,New,0
2024-07-04,e2a80324,B,Electronics,408.79,305.03,4,10.0,1471.64,251.52,East,Online,Card,New,0
2024-09-30,e0e0dbba,F,Clothing,297.11,176.76,10,15.0,2525.44,757.84,North,Online,Cash,Returning,0
2024-12-21,6ce42c60,D,Furniture,1883.17,1375.16,5,5.0,8945.06,2069.26,West,Distributor,Cash,New,1
2024-01-12,8425d911,D,Furniture,1898.62,1181.82,9,0.0,17087.58,6451.2,East,Online,Card,New,0
2024-03-22,08c0ab47,A,Electronics,466.24,313.65,6,15.0,2377.82,495.92,North,Distributor,Cash,New,0
2024-01-09,d287d1ba,C,Furniture,640.0,454.39,10,15.0,5440.0,896.1,South,Retail,NetBanking,Returning,0
2024-01-11,ef689aab,C,Furniture,698.85,513.25,5,10.0,3144.83,578.58,West,Distributor,Card,New,0
2024-05-04,67ebea7a,F,Clothing,175.16,99.31,1,5.0,166.4,67.09,South,Distributor,UPI,Returning,1
2024-04-01,f1489604,E,Clothing,164.1,104.5,5,,697.42,174.92,West,Distributor,,Returning,0
2024-08-11,5ae7001b,G,Electronics,876.42,634.08,1,15.0,744.96,110.88,North,Distributor,Cash,Returning,1
2024-11-11,2b878a71,E,Clothing,203.0,125.4,8,0.0,1624.0,620.8,South,Distributor,Cash,New,0
2024-08-31,1e164d02,C,Furniture,864.09,525.85,4,10.0,3110.72,1007.32,North,Distributor,UPI,New,1
2024-07-26,6609ea33,A,Electronics,493.42,313.54,2,5.0,937.5,310.42,East,Retail,Card,Returning,0
2024-06-16,56142cae,B,Electronics,484.91,337.68,8,15.0,3297.39,595.95,East,Online,Cash,New,1
2024-06-09,b828b81b,F,Clothing,276.67,169.89,7,15.0,1646.19,456.96,North,Online,Cash,Returning,1
2024-08-02,711fba57,C,Furniture,1015.96,656.41,8,0.0,8127.68,2876.4,South,Retail,UPI,Returning,0
2024-01-08,c8d80c19,B,Electronics,558.77,365.16,8,15.0,3799.64,878.36,East,Retail,Card,New,0
2024-06-23,3140cd47,B,Electronics,336.06,245.86,10,10.0,3024.54,565.94,North,Distributor,Cash,Returning,1
2024-08-01,3968a8ec,E,Clothing,393.45,266.38,5,0.0,1967.25,635.35,North,Retail,Cash,New,0
2024-02-25,1f92d0ad,E,Clothing,114.24,85.59,1,0.0,114.24,28.65,East,Retail,UPI,New,1
2024-10-16,157eda60,D,Furniture,853.17,627.0,2,0.0,1706.34,452.34,North,Distributor,UPI,New,0
2024-01-03,591763d6,F,Clothing,207.92,132.68,9,10.0,1684.15,490.03,East,Online,Cash,Returning,0
2024-08-19,66e6d72a,F,Clothing,198.79,141.92,3,0.0,596.37,170.61,South,Distributor,UPI,Returning,0
2024-03-11,bd186b96,G,Electronics,668.96,430.73,3,0.0,2006.88,714.69,East,Distributor,Card,Returning,0
2024-04-07,bb741359,F,Clothing,88.84,63.42,8,0.0,710.72,203.36,North,Online,Card,New,1
2024-04-10,772292ef,D,Furniture,1601.59,893.68,1,15.0,1361.35,467.67,West,Online,UPI,Returning,0
2024-07-17,d8c340e7,E,Clothing,201.89,123.66,2,15.0,343.21,95.89,East,Retail,UPI,New,0
2024-06-28,36e5832c,D,Furniture,1047.16,611.52,6,10.0,5654.66,1985.54,West,Online,Cash,New,0
2024-06-21,720a41af,A,Electronics,319.36,228.61,8,10.0,2299.39,470.51,South,Online,Card,New,0
2024-08-01,daf268e6,G,Electronics,695.84,398.64,4,0.0,2783.36,1188.8,North,Distributor,Card,New,0
2024-08-05,fd528251,C,Furniture,1077.64,596.9,2,5.0,2047.52,853.72,West,Online,Cash,New,0
2024-01-31,48962af8,A,Electronics,685.98,505.0,9,,5865.13,1320.13,South,Retail,,New,0
2024-03-03,2caedebc,C,Furniture,652.25,415.6,5,5.0,3098.19,1020.19,South,Online,NetBanking,New,1
2024-03-06,61805a90,B,Electronics,550.72,412.64,6,10.0,2973.89,498.05,East,Distributor,NetBanking,Returning,0
2024-06-04,177bfce9,B,Electronics,478.21,338.25,7,0.0,3347.47,979.72,South,Retail,UPI,New,0
2024-03-14,ffa69b5f,F,Clothing,272.74,166.8,6,0.0,1636.44,635.64,South,Online,UPI,New,0
2024-12-02,8568e3a5,G,Electronics,859.19,497.78,9,5.0,7346.07,2866.05,North,Online,UPI,Returning,0
2024-12-27,ff7067df,B,Electronics,533.93,372.2,8,15.0,3630.72,653.12,North,Retail,Cash,New,0
2024-03-21,9f659da3,G,Electronics,736.09,425.58,8,10.0,5299.85,1895.21,North,Distributor,Cash,Returning,0
2024-04-11,0fb1f080,G,Electronics,757.4,526.86,8,0.0,6059.2,1844.32,North,Online,UPI,New,0
2024-05-26,1e5782ed,A,Electronics,473.75,276.31,1,10.0,426.38,150.06,East,Retail,Cash,New,1
2024-02-06,b3d19cb2,C,Furniture,1312.77,928.37,3,15.0,3347.56,562.45,East,Online,NetBanking,New,0
2024-11-02,6d2c47fe,C,Furniture,814.48,501.53,6,5.0,4642.54,1633.36,South,Retail,NetBanking,New,1
2024-05-30,c1720a16,D,Furniture,1725.55,1057.32,4,0.0,6902.2,2672.92,West,Distributor,UPI,New,0
2024-03-18,6a317a92,C,Furniture,1090.43,600.93,10,10.0,9813.87,3804.57,North,Distributor,Card,Returning,0
2024-09-08,54f1302c,E,Clothing,119.54,66.08,10,5.0,1135.63,474.83,North,Online,Cash,New,1
2024-07-11,4fd3acc5,C,Furniture,615.67,402.3,5,15.0,2616.6,605.1,South,Online,NetBanking,Returning,0
2024-10-16,07300ae7,B,Electronics,278.29,193.74,4,0.0,1113.16,338.2,East,Retail,Card,Returning,0
2024-04-18,0b030985,B,Electronics,345.64,208.98,7,0.0,2419.48,956.62,South,Distributor,NetBanking,New,0
2024-11-11,147d8150,B,Electronics,287.07,176.32,8,0.0,2296.56,886.0,West,Online,UPI,Returning,0
2024-12-13,ba197646,E,Clothing,340.24,216.11,4,10.0,1224.86,360.42,West,Distributor,UPI,Returning,0
2024-04-05,16c56c2f,D,Furniture,1196.75,682.24,10,0.0,11967.5,5145.1,East,Retail,Card,Returning,0
2024-04-16,1cfd8582,B,Electronics,582.25,435.35,2,5.0,1106.28,235.58,West,Online,NetBanking,New,0
2024-04-29,b28b7cbd,C,Furniture,790.12,569.73,9,0.0,7111.08,1983.51,South,Online,Card,New,0
2024-07-10,31b1a349,E,Clothing,260.2,171.03,1,5.0,247.19,76.16,West,Online,Card,Returning,0
2024-02-01,b6ac6e83,B,Electronics,589.59,333.63,6,0.0,3537.54,1535.76,West,Online,Card,Returning,0
2024-11-24,1384a2ee,A,Electronics,730.8,446.58,3,5.0,2082.78,743.04,South,Distributor,Card,New,1
2024-02-29,4a05616c,D,Furniture,1322.14,937.38,2,10.0,2379.85,505.09,South,Retail,UPI,New,0
2024-11-30,bde436e1,F,Clothing,208.36,124.51,9,15.0,1593.95,473.36,West,Distributor,NetBanking,New,1
2024-12-17,7f2c0724,A,Electronics,389.43,228.39,8,5.0,2959.67,1132.55,East,Online,Cash,Returning,0
2024-04-15,b9410963,D,Furniture,1985.03,1323.49,5,10.0,8932.64,2315.19,North,Distributor,NetBanking,Returning,0
2024-05-27,d3704ecd,C,Furniture,876.31,641.03,7,0.0,6134.17,1646.96,South,Retail,Card,Returning,0
2024-01-08,e6e44c5b,F,Clothing,278.9,163.78,2,10.0,502.02,174.46,East,Online,UPI,Returning,0
2024-09-06,e60bd1f3,C,Furniture,865.77,549.77,5,5.0,4112.41,1363.56,North,Retail,Cash,New,0
2024-11-07,6d225da4,E,Clothing,246.5,157.9,3,10.0,665.55,191.85,North,Retail,Cash,Returning,0
2024-09-23,7ebdc547,C,Furniture,964.94,607.16,1,10.0,868.45,261.29,North,Online,UPI,Returning,0
2024-04-06,8575d093,G,Electronics,444.36,304.3,3,10.0,1199.77,286.87,South,Online,Cash,Returning,1
2024-08-23,da49b15f,C,Furniture,794.2,504.67,1,15.0,675.07,170.4,North,Online,NetBanking,New,0
2024-05-07,41c4ee49,D,Furniture,1065.63,660.54,3,5.0,3037.05,1055.43,West,Online,NetBanking,Returning,0
2024-10-09,0d94df19,F,Clothing,264.25,147.84,8,0.0,2114.0,931.28,East,Distributor,UPI,Returning,0
2024-01-27,1cc95e98,B,Electronics,522.39,329.35,5,10.0,2350.75,704.0,West,Retail,NetBanking,New,1
2024-12-16,0603a8be,B,Electronics,254.9,175.86,8,10.0,1835.28,428.4,East,Online,Card,New,0
2024-12-27,6e831ccb,F,Clothing,225.8,157.03,9,10.0,1828.98,415.71,West,Distributor,NetBanking,New,0
2024-08-23,f2356fc2,G,Electronics,666.11,409.59,5,15.0,2830.97,783.02,North,Distributor,UPI,New,0
2024-05-17,74f29a82,G,Electronics,469.21,297.35,8,5.0,3566.0,1187.2,East,Distributor,Card,Returning,0
2024-10-18,7ae121df,A,Electronics,726.32,445.91,9,15.0,5556.35,1543.16,North,Online,UPI,New,0
2024-08-02,bc26fa45,A,Electronics,798.72,512.63,8,5.0,6070.27,1969.23,West,Distributor,NetBanking,New,0
2024-09-18,0ffbcee5,D,Furniture,1890.97,1319.95,2,0.0,3781.94,1142.04,West,Retail,NetBanking,Returning,0
2024-06-12,745904dd,E,Clothing,299.03,211.99,9,10.0,2422.14,514.23,East,Distributor,Cash,New,0
2024-12-08,fb114fb2,F,Clothing,159.72,95.84,3,10.0,431.24,143.72,North,Online,Cash,New,1
2024-02-21,9dbfda16,D,Furniture,1893.53,1076.99,10,5.0,17988.53,7218.63,South,Distributor,NetBanking,New,0
2024-12-06,a05b2b0c,C,Furniture,1099.0,615.89,9,0.0,9891.0,4347.99,East,Distributor,NetBanking,Returning,0
2024-04-01,ca4e3b1d,C,Furniture,1364.15,782.88,5,15.0,5797.64,1883.24,East,Retail,Card,Returning,0
2024-01-04,ae38efdd,E,Clothing,175.59,100.24,9,5.0,1501.29,599.13,North,Online,NetBanking,Returning,0
2024-01-08,26e0208e,G,Electronics,663.49,492.88,10,5.0,6303.16,1374.36,North,Retail,Card,New,0
2024-09-05,c1306506,G,Electronics,766.15,433.66,2,10.0,1379.07,511.75,North,Retail,Card,New,0
2024-12-27,73983f56,D,Furniture,1377.25,1012.07,10,15.0,11706.62,1585.92,West,Retail,Cash,Returning,0
2024-09-24,2208d5b1,E,Clothing,367.3,206.22,8,15.0,2497.64,847.88,West,Online,NetBanking,New,0
2024-11-29,15714fc3,C,Furniture,739.27,500.88,10,10.0,6653.43,1644.63,West,Retail,Cash,Returning,0
2024-09-24,fc702d01,E,Clothing,330.14,189.71,6,0.0,1980.84,842.58,East,Online,Cash,New,0
2024-07-10,b69a4390,B,Electronics,516.95,350.13,6,10.0,2791.53,690.75,South,Retail,Card,Returning,0
2024-03-28,34dfcaee,A,Electronics,752.77,507.34,3,15.0,1919.56,397.54,East,Retail,Card,Returning,0
2024-03-22,e57ff730,F,Clothing,224.68,155.7,6,10.0,1213.27,279.07,West,Online,NetBanking,Returning,0
2024-05-18,50910881,D,Furniture,1776.85,1313.3,5,5.0,8440.04,1873.54,East,Retail,UPI,New,1
2024-12-03,0a02797d,F,Clothing,208.57,147.24,10,10.0,1877.13,404.73,South,Retail,NetBanking,Returning,0
